from,to,relation,weight
dal,dht,4,6
dal,dht,4,6
dal,dht,4,6
ddf,dha,1,3
dfk,ddm,1,4
dfs,dkn,4,6
dfs,dmcm,1,2
dha,dag,4,6
dha,dag,1,3
dhms,dls,1,3
dht,dls,1,1
djg,dfs,1,4
djh,dsk,1,3
djob,dpn,1,4
djob,drti,1,4
dkn,dms,1,3
dkn,dca,1,3
dls,dpn,1,3
dmk,dms,1,3
dms,dmm,1,2
dpb,dgk,1,4
dpb,dsk,1,4
dpb,dds,1,4
dpb,dyn,1,4
dpt,dam,1,3
drti,dmkr,1,4
dsd,ddf,4,6
dtg,dmm,1,2
dtw,dms,1,2
dyn,dca,4,6
dal,afd,3,6
dat,afd,3,6
ddm,afd,3,6
dfk,afd,3,6
dha,afd,3,6
dhms,afd,3,6
dht,afd,3,6
djob,afd,3,6
djab,afd,3,6
djg,afd,3,6
djh,afd,3,6
djs,afd,3,6
djws,afd,3,6
dls,afd,3,6
dmtk,afd,3,6
dmme,afd,3,6
dpb,afd,3,6
dpn,afd,3,6
drte,afd,3,6
dyn,afd,3,6
dsd,afd,3,6
dmkr,afd,3,6
dfk,ja,3,6
djws,ja,3,6
dls,ja,3,6
dpn,ja,3,6
drte,ja,3,6
