from,to,relation,weight
fcl,citadelle,5,6
fsg,citadelle,5,6
fnb,citadelle,5,6
ffc,citadelle,5,6
fav,citadelle,5,6
fnc,citadelle,5,6
ffc,fnc,1,3
fnc,fmlp,1,2
fnb,fmlp,1,2
ffc,fmlp,1,2
fmmlp,fmlp,1,1
fmmlp,fcg,1,4
fmmlp,fre,1,4
fav,fsc,1,3
fpe,fpl,4,6
fpe,frm,1,2
fpe,fmlp,1,3
fav,fsc,1,2
fjb,fmlp,1,2
fcg,fdl,1,3
fdl,fre,1,3
fre,fcg,1,3
fdl,fsc,1,4
fpv,fmmlp,4,6
fpo,fmlp,1,2
fpo,fdl,1,2
fecd,frf,1,3
fsc,fate,4,6
fate,fre,1,2
fre,ffs,1,2
fate,ffs,1,2
fate,fjp,1,2
fre,fjp,1,2
ffs,fjp,1,2
fgb,fpv,1,3
fgc,fdl,1,2
fpe,fav,4,6
fjp,fsr,1,3
fjp,fate,1,2
fjp,ffs,1,2
fjp,fre,1,2
fnb,fpv,1,2
fgp,fnb,4,6
fav,gi,3,6
fre,gi,3,6
fpl,gi,3,6
frm,gi,3,6
fdl,gi,3,6
fcg,gi,3,6
fpv,gi,3,6
frf,gi,3,6
fate,gi,3,6
ffs,gi,3,6
fjp,gi,3,6
fgb,gi,3,6
fgc,gi,3,6
fclg,gi,3,6
fgp,gi,3,6
fcl,rn,3,6
fsg,rn,3,6
fnb,rn,3,6
ffc,rn,3,6
fmmlp,rn,3,6
fmlp,rn,3,6
fsc,rn,3,6
fpe,rn,3,6
frm,rn,3,6
fjb,rn,3,6
fpv,rn,3,6
fpo,rn,3,6
fecd,rn,3,6
ffs,rn,3,6
fjp,rn,3,6
fsr,rn,3,6
fgb,rn,3,6
fgc,rn,3,6
