from,to,relation,weight
fcl,citadelle,5,6
fsg,citadelle,5,6
fnb,citadelle,5,6
ffc,citadelle,5,6
fav,citadelle,5,6
fnc,citadelle,5,6
ffc,fnc,1,3
fnc,fmlp,1,2
fnb,fmlp,1,2
ffc,fmlp,1,2
fmmlp,fmlp,1,1
fmmlp,fcg,1,4
fmmlp,fre,1,4
fav,fsc,1,3
fpe,fpl,4,6
fpe,frm,1,2
fpe,fmlp,1,3
fav,fsc,1,2
fjb,fmlp,1,2
fcg,fdl,1,3
fdl,fre,1,3
fre,fcg,1,3
fdl,fsc,1,4
fpv,fmmlp,4,6
fpo,fmlp,1,2
fpo,fdl,1,2
fecd,frf,1,3
fsc,fate,4,6
fate,fre,1,2
fre,ffs,1,2
fate,ffs,1,2
fate,fjp,1,2
fre,fjp,1,2
ffs,fjp,1,2
fgb,fpv,1,3
fgc,fdl,1,2
fpe,fav,4,6
fjp,fsr,1,3
fjp,fate,1,2
fjp,ffs,1,2
fjp,fre,1,2
fnb,fpv,1,2
fgp,fnb,4,6
