from,to,relation,weight
ocp,obc,4,
obk,odk,4,
ohk,oah,4,
ohs,oms,1,4
ohps,oam,1,4
ohps,oml,1,3
omh,oup,4,
omss,odk,4,
bt,oms,2,
omss,omk,1,4
omss,ogd,1,4
oms,oib,3,
oms,oph,1,2
obc,ofpö,3,
orf,ofpö,3,
owg,ofpö,3,
oah,ofpö,3,
ojk,ofpö,3,
obk,ofpö,3,
oak,ofpö,3,
odk,ofpö,3,
omss,oib,3,
okk,ofpö,3,
ogk,ofpö,3,
ojp,ofpö,3,
ocp,ofpö,3,
oup,ofpö,3,
orr,ofpö,3,
omms,ofpö,3,
ohs,ofpö,3,
ohps,ofpö,3,
okw,ofpö,3,
osw,ofpö,3,
oww,ofpö,3,
oswa,ofpö,3,
owz,ofpö,3,
ome,ofpö,3,
ohk,ofpö,3,
omh,ofpö,3,
omk,ofpö,3,
ogd,ofpö,3,
owa,ofpö,3,
