from,to,relation,weight
fcl,citadelle,5,6
fsg,citadelle,5,6
fnb,citadelle,5,6
ffc,citadelle,5,6
fav,citadelle,5,6
fnc,citadelle,5,6
ffc,fnc,1,3
fnc,fmlp,1,2
fnb,fmlp,1,2
ffc,fmlp,1,2
fmmlp,fmlp,1,1
fmmlp,fcg,1,4
fmmlp,fre,1,4
fav,fsc,1,3
fpe,fpl,4,6
fpe,frm,1,2
fpe,fmlp,1,3
fav,fsc,1,2
fjb,fmlp,1,2
fcg,fdl,1,3
fdl,fre,1,3
fre,fcg,1,3
fdl,fsc,1,4
fpv,fmmlp,4,6
fpo,fmlp,1,2
fpo,fdl,1,2
fecd,frf,1,3
fsc,fate,4,6
fate,fre,1,2
fre,ffs,1,2
fate,ffs,1,2
fate,fjp,1,2
fre,fjp,1,2
ffs,fjp,1,2
fgb,fpv,1,3
fgc,fdl,1,2
fpe,fav,4,6
fjp,fsr,1,3
fjp,fate,1,2
fjp,ffs,1,2
fjp,fre,1,2
fnb,fpv,1,2
fgp,fnb,4,6
fav,gi,3,6
fre,gi,3,6
fpl,gi,3,6
frm,gi,3,6
fdl,gi,3,6
fcg,gi,3,6
fpv,gi,3,6
frf,gi,3,6
fate,gi,3,6
ffs,gi,3,6
fjp,gi,3,6
fgb,gi,3,6
fgc,gi,3,6
fclg,gi,3,6
fgp,gi,3,6
fcl,rn,3,6
fsg,rn,3,6
fnb,rn,3,6
ffc,rn,3,6
fmmlp,rn,3,6
fmlp,rn,3,6
fsc,rn,3,6
fpe,rn,3,6
frm,rn,3,6
fjb,rn,3,6
fpv,rn,3,6
fpo,rn,3,6
fecd,rn,3,6
ffs,rn,3,6
fjp,rn,3,6
fsr,rn,3,6
fgb,rn,3,6
fgc,rn,3,6
ocp,obc,4,
obk,odk,4,
ohk,oah,4,
ohs,oms,1,4
ohps,oam,1,4
ohps,oml,1,3
omh,oup,4,
omss,odk,4,
bt,oms,2,
omss,omk,1,4
omss,ogd,1,4
oms,oib,3,
oms,oph,1,2
obc,ofpö,3,
orf,ofpö,3,
owg,ofpö,3,
oah,ofpö,3,
ojk,ofpö,3,
obk,ofpö,3,
oak,ofpö,3,
odk,ofpö,3,
omss,oib,3,
okk,ofpö,3,
ogk,ofpö,3,
ojp,ofpö,3,
ocp,ofpö,3,
oup,ofpö,3,
orr,ofpö,3,
omms,ofpö,3,
ohs,ofpö,3,
ohps,ofpö,3,
okw,ofpö,3,
osw,ofpö,3,
oww,ofpö,3,
oswa,ofpö,3,
owz,ofpö,3,
ome,ofpö,3,
ohk,ofpö,3,
omh,ofpö,3,
omk,ofpö,3,
ogd,ofpö,3,
owa,ofpö,3,
dal,dht,4,6
dal,dht,4,6
dal,dht,4,6
ddf,dha,1,3
dfk,ddm,1,4
dfs,dkn,4,6
dfs,dmcm,1,2
dha,dag,4,6
dha,dag,1,3
dhms,dls,1,3
dht,dls,1,1
djg,dfs,1,4
djh,dsk,1,3
djob,dpn,1,4
djob,drti,1,4
dkn,dms,1,3
dkn,dca,1,3
dls,dpn,1,3
dmk,dms,1,3
dms,dmm,1,2
dpb,dgk,1,4
dpb,dsk,1,4
dpb,dds,1,4
dpb,dyn,1,4
dpt,dam,1,3
drti,dmkr,1,4
dsd,ddf,4,6
dtg,dmm,1,2
dtw,dms,1,2
dyn,dca,4,6
dal,afd,3,6
dat,afd,3,6
ddm,afd,3,6
dfk,afd,3,6
dha,afd,3,6
dhms,afd,3,6
dht,afd,3,6
djob,afd,3,6
djab,afd,3,6
djg,afd,3,6
djh,afd,3,6
djs,afd,3,6
djws,afd,3,6
dls,afd,3,6
dmtk,afd,3,6
dmme,afd,3,6
dpb,afd,3,6
dpn,afd,3,6
drte,afd,3,6
dyn,afd,3,6
dsd,afd,3,6
dmkr,afd,3,6
dfk,ja,3,6
djws,ja,3,6
dls,ja,3,6
dpn,ja,3,6
drte,ja,3,6
