Österreich,,,,,,,
,,,,,,,
id,name,sector ,party,role ,country,orga,partei
oms,Martin Sellner,4,,1,österreichisch,,
oph,Philipp Huemer,4,,1,österreichisch,,
obc,Bernadette Conrads,3,fpö,4,österreichisch ,,
orf,Rudi Federspiel,3,fpö,4,österreichisch,,
owg,Wolfgang Grabmayr,3,fpö,6,österreichisch,,
oah,Alexander Höferl,2,fpö,5,österreichisch,,
ojk,Jürgen-Michael Kleppich ,2,fpö,5,österreichisch,,
obk,Beate Hartinger-Klein,2,fpö,6,österreichisch,,
oak,Axel Kassegger,2,fpö,6,österreichisch,,
odk,Dominic Keuschnig,3,fpö,6,österreichisch,,
omss,Mario S.,3,fpö,3,österreichisch,,
okk,Karin Kneissl,2,fpö,6,österreichisch,,
ogk,Gerhard Kurzmann,3,fpö,4,österreichisch,,
ojp,Jan Kevin Pawlik,3,fpö,4,österreichisch,,
ocp,Christian Pewny,2,fpö,6,österreichisch,,
oup,Ulrich Püschel,3,fpö,4,österreichisch ,,
orr,Reinhard Rebhandl,3,fpö,5,österreichisch,,
omms,Michael Schnedlitz,2,fpö,4,österreichisch,,
ohs,Heinrich Sickl,3,fpö,4,österreichisch,,
ohps,Heinz Peter Stanko,2,fpö,5,österreichisch,,
okw,Katharina Walter,3,fpö,4,österreichisch,,
osw,Siegfried Waschnig,2,fpö,4,österreichisch,,
oww,Werner Wassicek,3,fpö,4,österreichisch,,
oswa,Sabine Wassicek,3,fpö,4,österreichisch,,
owz,Wolfgang Zanger,2,fpö,4,österreichisch,,
oml,Michael Ley,4,,4,österreichisch,,
ome,Mario Eustacchio,3,fpö,4,österreichisch,,
ohk,Herbert Kickl,2,fpö,4,österreichisch,,
oam,Alexander Markovics,4,,3,österreichisch,,
omh,Markus Hein,3,fpö,4,österreichisch,,
oib,Identitäre Bewegung,,,,österreichisch,ja,
ofpö,Freiheitliche Partei Deutschland,,fpö,,österreichisch,,ja
bt,Brenton Tarrant,,,2,neuseeländisch,,
omk,Mario Kunasek,2,fpö,4,österreichisch,,
ogd,Gernot Darmann,3,fpö,4,österreichisch,,
